DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20240728,956,85,434,10,869,120.9329326183881,97.90553172929636,650.1615356523155
20240728,183,85,960,13,687,91.19293665377847,72.42935758434591,523.3777057618756
20240728,992,85,746,5,982,43.592275361338714,55.77584679008715,882.6318778485742
20240728,826,85,532,19,824,32.04073240047606,46.99333480552169,744.9659327940022
20240728,666,85,558,2,672,59.47750761734921,45.752510507787335,566.7699818748634
20240728,565,85,750,14,231,15.668797047602055,29.360493459068863,185.97070949332908
20240728,278,85,847,7,919,62.85716678065285,102.85060931285346,753.2922239064937
20240728,171,85,334,19,714,70.89397886591044,56.66192534673748,586.4440957873521
20240728,901,85,927,12,992,62.09043103089238,77.148800080741,852.7607688883666
20240728,258,85,773,20,456,10.803859753032208,57.120831184143384,388.07530906282443
20240728,316,85,227,3,216,28.572248582664127,18.860751834082713,168.56699958325316
20240728,480,85,956,20,496,40.771364583933924,65.42612687653067,389.80250853953544
20240728,289,85,430,20,933,99.66860768214366,109.2426182067624,724.0887741110939
20240728,707,85,60,7,886,120.83657186104931,89.73868798351077,675.4247401554398
20240728,280,85,497,3,457,25.851057093472736,23.842843973944227,407.30609893258304
20240728,9,85,591,7,540,16.959386348670495,46.61670819388626,476.42390545744325
20240728,572,85,849,13,375,41.72672219886113,55.42818266903443,277.84509513210446
20240728,707,85,322,2,628,55.44228101581302,63.495926864977,509.06179211920994
20240728,609,85,300,11,817,104.07372165283589,63.300459074593064,649.6258192725711
20240728,138,85,912,6,968,25.943253868006437,89.7155175924496,852.341228539544
20240728,691,85,410,5,546,36.05153531239053,78.28285853564454,431.66560615196494
20240728,922,85,822,20,510,42.009976413513904,29.878016923486914,438.1120066629992
20240728,585,85,179,3,254,14.582496713632905,17.19373458894138,222.22376869742573
20240728,431,85,216,9,921,53.53645226444526,132.4098256511092,735.0537220844456
20240728,834,85,313,6,848,48.31696379784247,61.15358708751201,738.5294491146456
20240728,353,85,30,11,920,131.3059975490966,126.76091485116248,661.9330875997409
20240728,680,85,339,15,419,55.34830490390396,34.82295286042637,328.82874223566967
20240728,914,85,77,15,577,13.9169727850398,45.068776510363044,518.0142507045972
