DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20240728,164,9,3,1,144,5.355755850399638,13.930323470717344,124.71392067888301
20240728,769,9,285,8,540,24.406349926633542,75.21530183224,440.37834824112645
20240728,256,9,279,9,469,45.58683581338778,59.87038510494697,363.54277908166523
20240728,860,9,787,18,969,98.19866876770261,120.66114086202036,750.140190370277
20240728,557,9,372,7,193,21.16547530316661,19.506573700130943,152.32795099670244
20240728,818,9,799,3,111,7.831004688177916,6.093249433479594,97.07574587834249
20240728,647,9,659,7,698,64.13801791131804,37.66332338499828,596.1986587036837
20240728,636,9,207,13,255,13.1454753287384,16.13040569653524,225.72411897472637
20240728,930,9,606,4,548,15.382207241134493,76.5388341494185,456.078958609447
20240728,673,9,453,13,293,9.137317817314749,14.746545531290199,269.11613665139504
20240728,117,9,867,2,251,24.411034273737066,26.62692401532946,199.96204171093348
20240728,459,9,299,8,421,29.22131666687074,50.69397114304248,341.08471219008675
20240728,24,9,555,16,149,21.53867777277422,12.455742547008676,115.0055796802171
20240728,909,9,996,14,514,35.725907414786164,58.358745699763965,419.9153468854499
20240728,522,9,102,7,136,11.627368736090693,14.596639826882619,109.77599143702669
20240728,154,9,978,3,411,23.07667719540766,33.21375768815472,354.7095651164376
20240728,162,9,380,6,714,104.19504973054221,54.5264837992014,555.2784664702564
20240728,821,9,585,6,528,44.370039266876894,53.67112191290338,429.95883882021974
20240728,467,9,104,20,732,64.77056897405924,91.65610443858863,575.5733265873521
20240728,381,9,422,7,962,103.8701409026893,57.22629036228065,800.90356873503
20240728,255,9,293,8,806,87.37090375561294,47.39503108799226,671.2340651563948
20240728,138,9,982,14,170,24.764584650030628,18.51469673302356,126.72071861694582
20240728,731,9,620,2,136,13.02542673132573,9.259105715355574,113.71546755331869
20240728,811,9,100,7,913,127.2247371454557,131.2865236235681,654.4887392309762
20240728,892,9,485,6,673,98.73703481511032,48.81361400687527,525.4493511780145
20240728,359,9,426,16,335,10.070469649916635,17.124594268892654,307.8049360811907
20240728,7,9,423,8,292,29.345798766231486,39.81443106590996,222.83977016785855
20240728,985,9,242,19,935,42.25587871139852,106.69752875391706,786.0465925346844
20240728,509,9,403,1,210,24.57313348470674,19.85617176463201,165.57069475066123
20240728,749,9,549,9,689,70.7697189509701,46.991333794622214,571.2389472544077
20240728,392,9,960,11,712,95.7995551387518,96.65490045377237,519.5455444074759
20240728,784,9,69,3,625,27.269247694600903,50.30515793914762,547.4255943662515
20240728,143,9,180,9,429,24.768984009978556,32.789541014864355,371.4414749751571
20240728,363,9,385,20,962,129.5545469822536,85.95167348344143,746.493779534305
20240728,650,9,79,2,199,5.505869849415716,18.45699642501827,175.037133725566
20240728,446,9,489,15,596,43.77410138822903,80.38754838760525,471.8383502241657
20240728,996,9,230,13,680,101.97088816966365,56.6773972608499,521.3517145694864
20240728,667,9,726,13,163,22.382325876388503,11.63376911282954,128.98390501078194
20240728,44,9,704,10,367,36.160584193361615,29.901851885963932,300.93756392067445
20240728,433,9,590,18,934,34.99172395250029,83.76785137323115,815.2404246742685
20240728,544,9,687,7,144,17.620114813875972,13.682017091874402,112.69786809424963
20240728,723,9,205,18,430,58.26527188042497,46.60887249120158,325.1258556283734
20240728,695,9,543,2,379,9.439039171291196,31.74700745514134,337.8139533735675
20240728,606,9,610,14,150,8.748509036594902,11.88469635475094,129.36679460865417
20240728,15,9,235,20,682,68.00710153554911,37.6344597932668,576.3584386711841
20240728,104,9,248,13,185,10.38047847501687,26.4234939528919,148.19602757209123
20240728,284,9,24,20,672,16.825814646336458,94.00371965972758,561.170465693936
20240728,961,9,9,8,851,119.87805257906228,126.1910740515496,604.9308733693881
20240728,490,9,966,19,494,26.944259189719048,58.88843089524864,408.1673099150323
20240728,14,9,190,20,296,19.05650214313581,31.1930440227527,245.75045383411148
20240728,866,9,731,12,681,91.84537355451101,45.407612476206644,543.7470139692823
